Crops,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,hg/ha_yield
Cassava,1990,1083.0,75000.0,25.58,205381
Cassava,1990,1083.0,75000.0,26.88,205381
Cassava,1990,1083.0,75000.0,25.79,205381
Cassava,1990,1083.0,75000.0,24.1,205381
Cassava,1990,1083.0,75000.0,25.25,205381
Cassava,1990,1083.0,75000.0,25.44,205381
Cassava,1990,1083.0,75000.0,25.54,205381
Cassava,1990,1083.0,75000.0,26.36,205381
Cassava,1990,1083.0,75000.0,26.91,205381
Cassava,1990,1083.0,75000.0,25.16,205381
Cassava,1990,1083.0,75000.0,25.77,205381
Cassava,1990,1083.0,75000.0,25.12,205381
Cassava,1990,1083.0,75000.0,24.1,205381
Cassava,1990,1083.0,75000.0,25.68,205381
Cassava,1990,1083.0,75000.0,25.54,205381
Cassava,1990,1083.0,75000.0,25.44,205381
Cassava,1990,1083.0,75000.0,24.78,205381
Cassava,1990,1083.0,75000.0,26.59,205381
Cassava,1990,1083.0,75000.0,24.37,205381
Cassava,1990,1083.0,75000.0,26.63,205381
Cassava,1990,1083.0,75000.0,26.63,205381
Cassava,1990,1083.0,75000.0,25.64,205381
Maize,1990,1083.0,75000.0,25.58,15178
Maize,1990,1083.0,75000.0,26.88,15178
Maize,1990,1083.0,75000.0,25.79,15178
Maize,1990,1083.0,75000.0,24.1,15178
Maize,1990,1083.0,75000.0,25.25,15178
Maize,1990,1083.0,75000.0,25.44,15178
Maize,1990,1083.0,75000.0,25.54,15178
Maize,1990,1083.0,75000.0,26.36,15178
Maize,1990,1083.0,75000.0,26.91,15178
Maize,1990,1083.0,75000.0,25.16,15178
Maize,1990,1083.0,75000.0,25.77,15178
Maize,1990,1083.0,75000.0,25.12,15178
Maize,1990,1083.0,75000.0,24.1,15178
Maize,1990,1083.0,75000.0,25.68,15178
Maize,1990,1083.0,75000.0,25.54,15178
Maize,1990,1083.0,75000.0,25.44,15178
Maize,1990,1083.0,75000.0,24.78,15178
Maize,1990,1083.0,75000.0,26.59,15178
Maize,1990,1083.0,75000.0,24.37,15178
Maize,1990,1083.0,75000.0,26.63,15178
Maize,1990,1083.0,75000.0,26.63,15178
Maize,1990,1083.0,75000.0,25.64,15178
Potatoes,1990,1083.0,75000.0,25.58,157136
Potatoes,1990,1083.0,75000.0,26.88,157136
Potatoes,1990,1083.0,75000.0,25.79,157136
Potatoes,1990,1083.0,75000.0,24.1,157136
Potatoes,1990,1083.0,75000.0,25.25,157136
Potatoes,1990,1083.0,75000.0,25.44,157136
Potatoes,1990,1083.0,75000.0,25.54,157136
