State,District,Crops,Min Price,Max Price,Modal Price
Rajasthan,Chittorgarh,Wheat,2150.0,2350.0,2250.0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,2060.0,2050.0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2040.0,2040.0,2040.0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2060.0,2060.0,2060.0
Andhra Pradesh,East Godavari,Paddy(Dhan)(Common),2000.0,2080.0,2040.0
Andhra Pradesh,Guntur,Black Gram (Urd Beans)(Whole),8100.0,8300.0,8200.0
Andhra Pradesh,Kurnool,Jowar(Sorghum),3030.0,3090.0,3060.0
Andhra Pradesh,Kurnool,Maize,1962.0,1962.0,1962.0
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,2040.0,2040.0
Andhra Pradesh,Kurnool,Bengal Gram(Gram)(Whole),5335.0,5335.0,5335.0
Andhra Pradesh,Kurnool,Maize,1962.0,1962.0,1962.0
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),2040.0,2040.0,2040.0
Chattisgarh,Balodabazar,Paddy(Dhan)(Common),1350.0,1360.0,1355.0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,1500.0,1500.0
Chattisgarh,Dhamtari,Maize,2000.0,2000.0,2000.0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1500.0,1550.0,1500.0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1550.0,1550.0,1550.0
Chattisgarh,Dhamtari,Paddy(Dhan)(Common),1800.0,1800.0,1800.0
Chattisgarh,Kabirdham,Wheat,2200.0,2200.0,2200.0
Chattisgarh,Kanker,Maize,1500.0,1600.0,1550.0
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0
Chattisgarh,Kanker,Maize,1500.0,1600.0,1550.0
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0
Chattisgarh,Kanker,Paddy(Dhan)(Common),1900.0,2100.0,2000.0
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500.0,1500.0,1500.0
Chattisgarh,Koria,Maize,1965.0,1965.0,1965.0
Chattisgarh,Koria,Wheat,2130.0,2130.0,2130.0
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1800.0,1850.0,1820.0
Chattisgarh,Mungeli,Paddy(Dhan)(Common),1700.0,1875.0,1770.0
Chattisgarh,Raipur,Paddy(Dhan)(Common),2100.0,2100.0,2100.0
Chattisgarh,Surajpur,Maize,2000.0,2000.0,2000.0
Chattisgarh,Surajpur,Maize,1965.0,1965.0,1965.0
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),4000.0,8255.0,8250.0
Gujarat,Amreli,Bengal Gram(Gram)(Whole),3255.0,4975.0,4900.0
Gujarat,Amreli,Cotton,4500.0,7300.0,6895.0
Gujarat,Amreli,Green Gram (Moong)(Whole),7100.0,7500.0,7500.0
Gujarat,Amreli,Jowar(Sorghum),4200.0,4635.0,4375.0
Gujarat,Amreli,Wheat,2490.0,2580.0,2555.0
Gujarat,Amreli,Wheat,2305.0,2790.0,2480.0
Gujarat,Amreli,Cotton,7025.0,7325.0,7175.0
Gujarat,Amreli,Arhar (Tur/Red Gram)(Whole),8525.0,8525.0,8525.0
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4275.0,4900.0,4585.0
Gujarat,Amreli,Cotton,5000.0,6700.0,5850.0
Gujarat,Amreli,Jowar(Sorghum),2100.0,4625.0,3360.0
Gujarat,Amreli,Bajra(Pearl Millet/Cumbu),1800.0,2205.0,2003.0
Gujarat,Amreli,Bengal Gram(Gram)(Whole),4300.0,4885.0,4593.0
Gujarat,Amreli,Cotton,6450.0,7355.0,6903.0
Gujarat,Amreli,Jowar(Sorghum),2500.0,4700.0,3600.0
Gujarat,Amreli,Wheat,2350.0,2655.0,2503.0
Gujarat,Amreli,Wheat,2300.0,2620.0,2460.0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),1755.0,2392.5,2225.0
Gujarat,Banaskanth,Mustard,5155.0,5425.0,5305.0
Gujarat,Banaskanth,Wheat,2105.0,2195.0,2175.0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),2000.0,2410.0,2250.0
Gujarat,Banaskanth,Wheat,2150.0,2210.0,2200.0
Gujarat,Banaskanth,Gram Raw(Chholia),8000.0,9050.0,8525.0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),1615.0,2755.0,2185.0
Gujarat,Banaskanth,Mustard,5150.0,5375.0,5260.0
Gujarat,Banaskanth,Wheat,2030.0,2030.0,2030.0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),1755.0,2255.0,2005.0
Gujarat,Banaskanth,Mustard,5105.0,5405.0,5255.0
Gujarat,Banaskanth,Wheat,2190.0,2275.0,2232.0
Gujarat,Banaskanth,Bajra(Pearl Millet/Cumbu),1830.0,2105.0,1967.5
Gujarat,Banaskanth,Mustard,5055.0,5310.0,5182.5
Gujarat,Banaskanth,Wheat,2250.0,2250.0,2250.0
Gujarat,Bharuch,Arhar (Tur/Red Gram)(Whole),7400.0,8000.0,7600.0
Gujarat,Bharuch,Bajra(Pearl Millet/Cumbu),2200.0,2600.0,2400.0
Gujarat,Bharuch,Cotton,5600.0,6000.0,5800.0
Gujarat,Bharuch,Jowar(Sorghum),2600.0,3000.0,2800.0
Gujarat,Bharuch,Maize,2000.0,2400.0,2200.0
Gujarat,Bharuch,Wheat,2800.0,3400.0,3200.0
Gujarat,Bharuch,Arhar (Tur/Red Gram)(Whole),7400.0,7800.0,7600.0
Gujarat,Bharuch,Bajra(Pearl Millet/Cumbu),2000.0,2400.0,2200.0
Gujarat,Bharuch,Cotton,5400.0,5800.0,5600.0
Gujarat,Bharuch,Jowar(Sorghum),2400.0,2800.0,2600.0
Gujarat,Bharuch,Maize,1800.0,2200.0,2000.0
Gujarat,Botad,Cotton,6500.0,7410.0,6955.0
Gujarat,Dahod,Arhar (Tur/Red Gram)(Whole),7600.0,8000.0,7800.0
Gujarat,Dahod,Arhar (Tur/Red Gram)(Whole),7800.0,8200.0,8000.0
Gujarat,Dahod,Bengal Gram(Gram)(Whole),5050.0,5100.0,5075.0
Gujarat,Dahod,Bengal Gram(Gram)(Whole),5100.0,5250.0,5200.0
Gujarat,Dahod,Black Gram (Urd Beans)(Whole),6000.0,8000.0,7700.0
Gujarat,Dahod,Green Gram (Moong)(Whole),7500.0,8000.0,7800.0
Gujarat,Dahod,Maize,2050.0,2750.0,2600.0
Gujarat,Dahod,Maize,2100.0,2280.0,2200.0
Gujarat,Dahod,Paddy(Dhan)(Common),1875.0,1900.0,1885.0
Gujarat,Dahod,Paddy(Dhan)(Common),2050.0,2150.0,2100.0
Gujarat,Dahod,Wheat,2640.0,2750.0,2700.0
Gujarat,Dahod,Wheat,2490.0,2625.0,2550.0
Gujarat,Gandhinagar,Bajra(Pearl Millet/Cumbu),2255.0,2325.0,2290.0
Gujarat,Gandhinagar,Paddy(Dhan)(Common),1875.0,2025.0,1950.0
Gujarat,Gandhinagar,Wheat,2290.0,2335.0,2312.0
Gujarat,Jamnagar,Bajra(Pearl Millet/Cumbu),1845.0,2050.0,1950.0
Gujarat,Jamnagar,Bengal Gram(Gram)(Whole),4300.0,4750.0,4525.0
Gujarat,Jamnagar,Cotton,5075.0,6950.0,6015.0
Gujarat,Jamnagar,Jowar(Sorghum),3750.0,4700.0,4225.0
Gujarat,Jamnagar,Wheat,2200.0,2560.0,2380.0
Gujarat,Junagarh,Bajra(Pearl Millet/Cumbu),2000.0,2285.0,2125.0
Gujarat,Junagarh,Black Gram (Urd Beans)(Whole),6250.0,9125.0,8600.0
Gujarat,Junagarh,Wheat,2125.0,2635.0,2475.0
Gujarat,Junagarh,Arhar (Tur/Red Gram)(Whole),8000.0,9380.0,8690.0
Gujarat,Junagarh,Green Gram (Moong)(Whole),6675.0,7955.0,7315.0
Gujarat,Junagarh,Kulthi(Horse Gram),4610.0,4880.0,4745.0
Gujarat,Junagarh,Wheat,2325.0,2525.0,2425.0
Gujarat,Mehsana,Bajra(Pearl Millet/Cumbu),2135.0,2385.0,2250.0
Gujarat,Mehsana,Mustard,5250.0,5325.0,5290.0
Gujarat,Mehsana,Paddy(Dhan)(Common),1800.0,2600.0,2200.0
Gujarat,Mehsana,Wheat,2150.0,2600.0,2450.0
Gujarat,Morbi,Wheat,2275.0,2500.0,2350.0
Gujarat,Patan,Wheat,1850.0,2875.0,2125.0
Gujarat,Patan,Bajra(Pearl Millet/Cumbu),1500.0,2380.0,1940.0
Gujarat,Patan,Jowar(Sorghum),4750.0,6405.0,5577.0
Gujarat,Patan,Mustard,5200.0,5455.0,5327.0
Gujarat,Patan,Wheat,2225.0,2510.0,2367.0
Gujarat,Porbandar,Bajra(Pearl Millet/Cumbu),2150.0,2255.0,2205.0
Gujarat,Porbandar,Green Gram (Moong)(Whole),8000.0,8625.0,8315.0
Gujarat,Porbandar,Kulthi(Horse Gram),4250.0,4450.0,4350.0
Gujarat,Porbandar,Wheat,1975.0,2000.0,1990.0
Gujarat,Porbandar,Wheat,2170.0,2385.0,2280.0
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),9005.0,9505.0,9305.0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4680.0,4980.0,4980.0
Gujarat,Rajkot,Wheat,1980.0,2540.0,2465.0
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),5250.0,8000.0,7000.0
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),1750.0,2150.0,1940.0
Gujarat,Rajkot,Cotton,6750.0,7325.0,7075.0
Gujarat,Rajkot,Green Gram (Moong)(Whole),5000.0,8000.0,6750.0
Gujarat,Rajkot,Jowar(Sorghum),3500.0,4750.0,4250.0
Gujarat,Rajkot,Maize,2605.0,2605.0,2605.0
Gujarat,Rajkot,Mustard,4000.0,5750.0,4900.0
Gujarat,Rajkot,Wheat,2050.0,2400.0,2175.0
Gujarat,Rajkot,Wheat,2125.0,2725.0,2225.0
Gujarat,Rajkot,Cotton,6750.0,7165.0,6960.0
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),2265.0,2265.0,2265.0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),3500.0,5110.0,4305.0
Gujarat,Rajkot,Cotton,5500.0,6500.0,6000.0
Gujarat,Rajkot,Jowar(Sorghum),3520.0,3520.0,3520.0
Gujarat,Rajkot,Wheat,2130.0,2530.0,2330.0
Gujarat,Rajkot,Arhar (Tur/Red Gram)(Whole),5500.0,8925.0,8250.0
Gujarat,Rajkot,Bajra(Pearl Millet/Cumbu),1525.0,2375.0,2075.0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),4450.0,5000.0,4900.0
Gujarat,Rajkot,Bengal Gram(Gram)(Whole),9750.0,13000.0,11750.0
Gujarat,Rajkot,Black Gram (Urd Beans)(Whole),6925.0,8200.0,7680.0
Gujarat,Rajkot,Cotton,6750.0,7400.0,7200.0
Gujarat,Rajkot,Green Gram (Moong)(Whole),7250.0,8925.0,8125.0
Gujarat,Rajkot,Jowar(Sorghum),4350.0,5110.0,4750.0
Gujarat,Rajkot,Mustard,4850.0,5250.0,5100.0
Gujarat,Rajkot,Wheat,2120.0,2440.0,2335.0
Gujarat,Rajkot,Wheat,2230.0,2665.0,2450.0
Gujarat,Sabarkantha,Wheat,2200.0,2500.0,2350.0
Gujarat,Surat,Pegeon Pea (Arhar Fali),10000.0,15000.0,12500.0
Gujarat,Surendranagar,Cotton,6000.0,8000.0,7000.0
Gujarat,Surendranagar,Wheat,2000.0,2800.0,2400.0
Gujarat,Surendranagar,Cotton,6250.0,7110.0,7025.0
Gujarat,Surendranagar,Mustard,6505.0,6990.0,6900.0
Gujarat,Surendranagar,Wheat,2320.0,2525.0,2450.0
Karnataka,Haveri,Maize,2000.0,2100.0,2050.0
Karnataka,Kolar,Paddy(Dhan)(Common),2000.0,2100.0,2080.0
Karnataka,Raichur,Paddy(Dhan)(Common),3005.0,3005.0,3005.0
Karnataka,Shimoga,Arhar Dal(Tur Dal),11000.0,12500.0,11750.0
Karnataka,Shimoga,Bengal Gram Dal (Chana Dal),6500.0,7000.0,6750.0
Karnataka,Shimoga,Bengal Gram(Gram)(Whole),5500.0,6200.0,5850.0
Karnataka,Shimoga,Black Gram Dal (Urd Dal),9800.0,14000.0,11900.0
Karnataka,Shimoga,Green Gram (Moong)(Whole),10000.0,12000.0,11000.0
Karnataka,Shimoga,Green Gram Dal (Moong Dal),10000.0,13000.0,12000.0
Karnataka,Shimoga,Jowar(Sorghum),3000.0,4500.0,3750.0
Karnataka,Shimoga,Kulthi(Horse Gram),6000.0,7000.0,6500.0
Karnataka,Shimoga,Maize,2000.0,2200.0,2100.0
Karnataka,Shimoga,Mustard,7000.0,8000.0,7500.0
Karnataka,Shimoga,Wheat,3400.0,6000.0,5250.0
Madhya Pradesh,Ashoknagar,Wheat,0.0,0.0,2125.0
Madhya Pradesh,Bhopal,Green Gram (Moong)(Whole),5040.0,6700.0,5615.0
Madhya Pradesh,Dewas,Arhar (Tur/Red Gram)(Whole),7501.0,8800.0,8000.0
Madhya Pradesh,Dewas,Green Gram (Moong)(Whole),4500.0,7650.0,7100.0
Madhya Pradesh,Dewas,Wheat,2200.0,2751.0,2361.0
Madhya Pradesh,Jhabua,Wheat,2030.0,2200.0,2115.0
Madhya Pradesh,Panna,Bengal Gram(Gram)(Whole),4950.0,5110.0,5030.0
Madhya Pradesh,Panna,Lentil (Masur)(Whole),5150.0,5515.0,5325.0
Madhya Pradesh,Panna,Wheat,2100.0,2140.0,2120.0
Madhya Pradesh,Panna,Wheat,1960.0,2150.0,2025.0
Madhya Pradesh,Rajgarh,Bengal Gram(Gram)(Whole),4335.0,4335.0,4335.0
Madhya Pradesh,Rajgarh,Lentil (Masur)(Whole),5400.0,5850.0,5700.0
Madhya Pradesh,Rajgarh,Mustard,5040.0,5220.0,5100.0
Madhya Pradesh,Rajgarh,Wheat,2200.0,2343.0,2305.0
